PRODUCT_ID;PRODUCT_NAME;CATEGORY;DESCRIPTION;UNIT_PRICE;SUPPLIER_ID;SUPPLIER_NAME;LEAD_TIME_DAYS;MIN_ORDER;CURRENCY;SUPPLIER_COUNTRY;SUPPLIER_ADDRESS;STATUS;SUPPLIER_CITY;STOCK_QUANTITY;MANUFACTURER;CITY_LAT;CITY_LONG;RATING
P_0110;Logitech Signature M650 L Full Size Wireless Mouse;IT Accessories;Scroll smarter: With Logitech Signature M650 Wireless Mouse you get line-by-line precision for documents and super-fast scrolling for long web pages;34,75;1000;Electro Semicon;13;32;EURO;Germany;Holzhausenstraße 6, 60318 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;104;Logitech;50.1106444;8.6820917;5
P_0138;Logitech G305 LIGHTSPEED Wireless Gaming Mouse;IT Accessories;HERO Gaming Sensor: Next-gen HERO mouse sensor delivers up to 10x the power efficiency over other gaming mice with exceptional accuracy and responsiveness thanks to 400 IPS precision and up to 12000 DPI sensitivity;147,25;1001;Electro Circuits;2;39;EURO;Germany;Hochpfortenbüchel 2B, 50676 Köln, Germany;AVAILABLE;Cologne;498;Logitech;43.7218277;0.9774958;3
P_0053;Logitech M185 Wireless Mouse;IT Accessories;Compact Mouse: With a comfortable and contoured shape, this Logitech ambidextrous wireless mouse feels great in either right or left hand and is far superior to a touchpad. This wireless USB mouse features a line-by-line scroll wheel, up to 1 year of battery life (2) thanks to a smart sleep mode function, and comes with the included AA battery;295,93;1002;Infinity Networks;13;23;EURO;Germany;44147 Dortmund, Germany;AVAILABLE;Dortmund;735;Cherry;51.5142273;7.4652789;4
P_0125;HP 150 Wireless Mouse;IT Accessories;600 DPI Optical Mouse Sensor, 2.4GHz Wireless USB Receiver Included, Ambidextrous Design, 3 Buttons, Scroll Wheel, Up to 10 Month Battery, Black;240,69;1003;Optima Networks;8;5;EURO;Germany;Kaiserstraße 34, 44135 Dortmund, Germany;NOT AVAILABLE;Dortmund;0;HP;51.5142273;7.4652789;3
P_0118;Logitech ERGO K860;IT Accessories;Logitech ERGO K860 Wireless Ergonomic Keyboard;239,18;1004;Vertex Semicon;1;10;EURO;Germany;Lange Str. 62, 44137 Dortmund, Germany;NOT AVAILABLE;Dortmund;0;Logitec;51.5142273;7.4652789;4
P_0129;Arteck Split Ergonomic Keyboard;IT Accessories;Arteck Split Ergonomic Keyboard with Cushioned Wrist and Palm Rest, 2.4G USB Wireless Comfortable Natural Ergonomic Split Keyboard;246,11;1005;Precision Dynamics;11;26;EURO;Germany;Otto-Hahn-Straße 12, 44227 Dortmund, Germany;AVAILABLE;Dortmund;768;Arteck;51.5142273;7.4652789;4
P_0123;TECKNET Wireless Mouse for Laptop;IT Accessories;4800 DPI Optical Computer Mice with 6 Adjustable Levels, 30 Months Long Battery Life 2.4G Cordless USB Silent Mouse for Notebook, PC, Office Home Work (Grey);272,09;1006;Quantum Semicon;8;33;EURO;Germany;Eschborner Landstraße 55, 60489 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;221;TECKNET;50.1106444;8.6820917;2
P_0074;GeekerChip Rechargeable Wireless Mouse;IT Accessories;Bluetooth Mouse, Two Modes (BT 5.1 + 2.4G Wireless), Ultra-Thin/Silent (800-1200-1600), with USB cable, Wireless Mouse for PC/Tablet/Laptop(Black);258,9;1007;Hyper Labs;9;49;EURO;Germany;Südwall, 44137 Dortmund, Germany;AVAILABLE;Dortmund;769;GeekerChip;51.5142273;7.4652789;4
P_0115;Logitech M330 SILENT PLUS Wireless Mouse;IT Accessories;2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 2-year Battery Life, Compatible with PC, Mac, Laptop, Chromebook;69,62;1008;Digital Works;8;16;EURO;Germany;Thorwaldsenstraße 11, 51103 Köln, Germany;NOT AVAILABLE;Cologne;0;Logitech;43.7218277;0.9774958;3
P_0048;VENTION Docking Station Dual Monitor;IT Accessories;16 IN 1 USB C Docking Station: VENTION laptop docking station features 2×4K@60Hz HDMI Ports, 4K@60Hz DP Port, 10Gbps USB C Port, 2x10Gbps USB A Ports, USB C Port, USB 3.0 Ports, 2xUSB 2.0 Ports, 100W Power Delivery (PD) Port, 3.5mm Audio Port, SD/TF Reader, PC Host Port and RJ45 Gigabit Ethernet, catering to all your daily needs;131,53;1009;Byte Works;14;24;EURO;Germany;Essen Schützenbahn 70, 45127 Essen, Germany;NOT AVAILABLE;Essen;416;VENTION;51.4582235;7.0158171;4
P_0111;UGREEN 2.4G Wireless Mouse;IT Accessories;Laptop, 4000 DPI 5 Adjustable Levels Ergonomic USB Wireless Mouse Compatible With PC MacBook Chromebook, 18-Month Battery Life (Black);34,75;1010;Circuit Micro;13;32;EURO;Germany;Holzhausenstraße 6, 60318 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;104;UGREEN;50.1106444;8.6820917;3
P_0139;FUGACI Wireless Mouse;IT Accessories;2 USB A to USB C Adapter, 2.4GHZ Bluetooth Mouse Rechargeable, Laptop Mouse Computer Accessories, USB Mouse 3 Buttons-Laptop Mouse Wireless PC Mouse 800 to 2400 Dpi;147,25;1011;Logic Supplies;2;39;EURO;Germany;Hochpfortenbüchel 2B, 50676 Köln, Germany;NOT AVAILABLE;Cologne;0;FUGACI;43.7218277;0.9774958;4
P_0052;JLab Go Work Wireless Headset;IT Accessories;Microphone for Laptop, 45+ Hr Playtime Bluetooth PC Headset, Multipoint Connect to Computer & Mobile, On Ear Wired or Wireless Headphones with Microphone;295,93;1012;Neo Wave;13;23;EURO;Germany;44147 Dortmund, Germany;NOT AVAILABLE;Dortmund;0;JLab;51.5142273;7.4652789;2
P_0124;Rebocico USB Headset with Microphone Noise Cancelling;IT Accessories;& Audio Controls, 3.5mm/USB Jack 2-In-1 Computer Office Teams Headsets, PC Headphone for laptop Skype Call Center, Business Chat, Teaching(1-Black);240,69;1013;Precision Links;8;5;EURO;Germany;Kaiserstraße 34, 44135 Dortmund, Germany;AVAILABLE;Dortmund;8;Rebocico;51.5142273;7.4652789;4
P_0117;Kensington Pro Fit Ergonomic Keyboard;IT Accessories;Kensington Pro Fit Ergo Wireless Keyboard, QWERTY keyboard layout, Dual 2.4 GHz and Bluetooth 4.2 technology;239,18;1014;Neo Dynamics;1;10;EURO;Germany;Lange Str. 62, 44137 Dortmund, Germany;AVAILABLE;Dortmund;808;Kensington;51.5142273;7.4652789;3
P_0128;Microsoft L5V-00006 Sculpt Ergonomic Keyboard;IT Accessories;Microsoft L5V-00006 Sculpt Ergonomic Desktop Keyboard;246,11;1015;Electro Industries;11;26;EURO;Germany;Otto-Hahn-Straße 12, 44227 Dortmund, Germany;NOT AVAILABLE;Dortmund;0;Microsoft;51.5142273;7.4652789;4
P_0122;Sennheiser PC 5.2 CHAT, wired headset for relaxed gaming;IT Accessories;FOCUSED AT WORK - The headset with microphone has soft ear pads. These are so comfortable that you can wear the headphones with microphone all day long. Nothing distracts you from your work. NOISE CANCELLING HEADPHONES WITH NOISE-CANCELLING TECHNOLOGY — Your voice is heard clearly thanks to the noise-canceling microphone.;272,09;1016;Volt Dynamics;8;33;EURO;Germany;Eschborner Landstraße 55, 60489 Frankfurt am Main, Germany;AVAILABLE;Frankfurt;221;Sennheiser;50.1106444;8.6820917;5
P_0073;Link Dream USB Headsets with Microphone;IT Accessories;Clear Sound Quality: Link Dream H365 USB Headset with Microphone built-in a sound card, which enabled the newest unidirectional noise-reduction tech aims to improve voice clarity. Professional business headsets with microphone born for audio and online chat, providing high-quality stereo sound for conversation.;258,9;1017;Optima Micro;9;49;EURO;Germany;Südwall, 44137 Dortmund, Germany;AVAILABLE;Dortmund;769;Link Dream;51.5142273;7.4652789;3
P_0114;TECKNET Wireless Headset with Microphone Noise Cancelling;IT Accessories;Bluetooth Headset with Microphone for Laptop, All Day Battery Life with Charging Dock for Office, Home, Remote Work, Call Center and More;69,62;1018;Hyper Components;8;16;EURO;Germany;Thorwaldsenstraße 11, 51103 Köln, Germany;AVAILABLE;Cologne;909;TECKNET;43.7218277;0.9774958;2
P_0047;Mosiriui USB C Docking Station Dual Monitor14 IN 1USB C HUB Multiport Adapter;IT Accessories;Wireless mouse with multi-device connectivity;131,53;1019;Blue Components;14;24;EURO;Germany;Essen Schützenbahn 70, 45127 Essen, Germany;AVAILABLE;Essen;416;Mosiriui;51.4582235;7.0158171;4
P_0140;Razer DeathAdder V2 Pro Wireless Gaming Mouse;IT Accessories;Razer HyperSpeed Wireless Technology, 20K Optical Sensor, 8 Programmable Buttons, RGB Chroma Lighting;229,99;1020;Infinity Supplies;3;25;EURO;Germany;Bramfelder Str. 31, 22159 Hamburg, Germany;AVAILABLE;Hamburg;200;Razer;53.550341;10.000654;5
P_0141;Corsair K95 RGB Platinum XT Mechanical Gaming Keyboard;IT Accessories;Corsair OPX Optical-Mechanical Keyswitches, 6 Key Rollover, RGB Backlighting, Dedicated Media Controls;209,99;1021;Hyper Semicon;5;10;EURO;Germany;Lange Str. 55, 80331 Munich, Germany;AVAILABLE;Munich;50;Corsair;48.1371079;11.5753822;4
P_0142;Apple Magic Mouse 2;IT Accessories;Rechargeable, Wireless Bluetooth Mouse with Multi-Touch Surface;89,99;1022;Neo Electronics;7;20;EURO;Germany;Kupfergraben 10, 10178 Berlin, Germany;AVAILABLE;Berlin;350;Apple;52.510885;13.3989367;5
P_0143;SteelSeries Arctis 7 Wireless Gaming Headset;IT Accessories;Lossless Wireless Audio, 24-Hour Battery Life, S1 Speaker Drivers, ClearCast Microphone;149,99;1023;Tech Dynamics;4;15;EURO;Germany;Wankelstraße 14, 70563 Stuttgart, Germany;AVAILABLE;Stuttgart;300;SteelSeries;48.7784485;9.1800132;4
P_0144;Logitech G Pro X Superlight Wireless Gaming Mouse;IT Accessories;HERO Sensor, Ultra-Lightweight Design, 5-Button Programmable, 25K DPI;129,99;1024;Electro Systems;6;50;EURO;Germany;Hauptstraße 45, 90762 Fürth, Germany;AVAILABLE;Fürth;180;Logitech;49.48857105;10.95872031326412;5
P_0145;BenQ Zowie XL2411P 24 Inch Gaming Monitor;IT Accessories;144Hz Refresh Rate, 1ms Response Time, Black eQualizer, Adjustable Height;249,99;1025;Circuit Devices;2;10;EURO;Germany;Friedrichstraße 25, 10117 Berlin, Germany;AVAILABLE;Berlin;250;BenQ;52.510885;13.3989367;4
P_0146;Sennheiser Momentum 3 Wireless Headphones;IT Accessories;Active Noise Cancellation, 17-Hour Battery Life, High-Resolution Audio, Wireless & Wired Connection;379,99;1026;Volt Micro;6;12;EURO;Germany;Am Borsigturm 1, 13507 Berlin, Germany;AVAILABLE;Berlin;90;Sennheiser;52.510885;13.3989367;5
P_0147;Acer Predator X34P 34-Inch Curved Monitor;IT Accessories;Curved 1800R, 120Hz Refresh Rate, NVIDIA G-SYNC, 21:9 UltraWide;699,99;1027;Byte Semicon;8;20;EURO;Germany;Bruckstrasse 3, 80333 Munich, Germany;AVAILABLE;Munich;40;Acer;48.1371079;11.5753822;5
